Case_Number,Fault_Resistance,Fault_Angle,Fault_Duration,Vnadir,Number of Trips,Number of Chatters,Value of Chatters,Final_Output,Segment 1_Stall,Segment2_Stall,Segment3_Stall,TMS,,T1_Measured,V1_Measured,T2_Measured,V2_Measured,,,,,,
163,1.944662664,1.999636013,0.098786137,0.874602662,0,3,1.5,1.5,0,1,0,10,,0.036969476,0.876558101,106.483987,0.904793045,,,,,,
164,1.514248211,1.998805993,0.088523296,0.850988072,0,3,1.5,1.5,1,1,0,20,,0.015403987,0.868786574,104.914007,0.909799632,,,,,,
165,0.312364064,1.998422409,0.095097222,0.746617528,3,0,3,3,1,1,1,30,,0.010714007,0.749165151,111.417591,0.866127116,,,,,,
166,1.624731682,1.996004974,0.084299733,0.866930615,0,3,1.5,1.5,0,0,1,10,,0.025977591,0.868199651,98.715026,0.924408507,,,,,,
167,1.956462375,1.998193534,0.071413378,0.876799589,0,3,1.5,1.5,0,0,0,0,,0.039915026,0.924550509,89.686466,0.926337207,,,,,,
168,0.801598877,1.998103911,0.092011218,0.80891056,0,3,1.5,1.5,1,1,1,30,"(1,2)",0.011446466,0.819439736,104.896089,0.882044629,,,,,,
169,0.22090498,1.999159825,0.090013983,0.727402556,3,0,3,3,1,1,1,30,,0.011776089,0.729529219,109.120175,0.884981501,,,,,,
170,1.101388275,1.996672919,0.076056597,0.833273901,0,3,1.5,1.5,0,0,0,0,,0.010480175,0.843520797,94.687081,0.951412142,,,,,,
171,1.275078673,1.997975232,0.081673921,0.843201011,0,3,1.5,1.5,0,1,0,10,,0.015367081,0.850147783,96.144768,0.918951215,,,,,,
172,1.582116127,1.999039828,0.094825634,0.856528849,0,3,1.5,1.5,1,1,1,30,?,0.017184768,0.860566261,101.680172,0.87097764,,,,,,
173,0.116779069,1.996104397,0.078431829,0.702507377,3,0,3,3,1,1,1,30,,0.006040172,0.704386087,91.175603,0.815093171,,,,,,
174,0.736566104,1.997062335,0.098730995,0.807409833,3,0,3,3,1,1,1,30,,0.012695603,0.81241563,112.777665,0.894051147,,,,,,
175,1.768983622,1.99774197,0.072445288,0.864566345,0,3,1.5,1.5,1,1,1,30,?,0.037177665,0.928704717,87.61803,0.928704717,,,,,,
176,1.382097624,1.998766467,0.079662071,0.84700256,0,3,1.5,1.5,1,1,1,30,,0.01693803,0.864286325,96.433533,0.923323246,,,,,,
